1
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,223,73430.56,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,172,140,113361.21,ANTIOQUI,CORDOSUC
ISAGEN S.A. E.S.P.,32,217,45620.07,CERROMAT,NORDESTE
ISAGEN S.A. E.S.P.,45,22,45883.13,HUILACAQ,NORDESTE
ISAGEN S.A. E.S.P.,48,254,43046.68,LAMIEL,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,283,15,49644.21,ANTIOQUI,COROZO
ISAGEN S.A. E.S.P.,287,12,53893.09,HUILACAQ,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,82,302,20326.87,SANCARLO,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,139,109,19243.36,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,140,101,20473.99,SANCARLO,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,169,127,18523.16,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,97,255,20758.54,SANCARLO,GCM
ISAGEN S.A. E.S.P.,39,129,32192.45,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,41,196,32192.45,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,45,122,29456.78,HUILACAQ,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,278,1,32192.45,ANTIOQUI,COROZO
ISAGEN S.A. E.S.P.,294,1,19527.91,ANTIOQUI,CUATRICENTENARIO
2
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,139,109,7792.59,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,97,240,5450.31,SANCARLO,GCM
ISAGEN S.A. E.S.P.,31,260,14178.38,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,32,165,8720.42,CERROMAT,NORDESTE
ISAGEN S.A. E.S.P.,287,1,5472.91,HUILACAQ,CUATRICENTENARIO
PANAMA,67,129,5457.96,ANTIOQUI,PANAMA
PANAMA,69,4,5457.96,ANTIOQUI,PANAMA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,83,196,5809.91,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,84,78,5809.91,ANTIOQUI,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,141,193,6034.72,ANTIOQUI,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,169,115,4934.21,ANTIOQUI,CORDOSUC
ISAGEN S.A. E.S.P.,34,359,10824.77,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,35,36,8406.81,SANCARLO,NORDESTE
EMGESA S.A. E.S.P.,0,423,4121.44,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,4,196,4121.44,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,142,58,4533.84,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,81,4533.84,ANTIOQUI,BOLIVAR
ISAGEN S.A. E.S.P.,32,48,4472.1,CERROMAT,NORDESTE
ISAGEN S.A. E.S.P.,34,359,7808.66,ANTIOQUI,NORDESTE
EMGESA S.A. E.S.P.,209,80,3408.73,ANTIOQUI,TOLIMA
PANAMA,72,109,3336.57,ANTIOQUI,PANAMA
EMGESA S.A. E.S.P.,0,423,3900.57,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,142,126,4233.9,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,145,60,4233.9,ANTIOQUI,BOLIVAR
ISAGEN S.A. E.S.P.,34,25,7282.23,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,36,328,7282.23,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,37,50,4050.2,TOLIMA,NORDESTE
ISAGEN S.A. E.S.P.,290,1,4510.61,ANTIOQUI,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,86,30,4378.51,ANTIOQUI,ATLANTIC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,159,166,3202.55,ANTIOQUI,CERROMAT
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,97,221,3234.58,SANCARLO,GCM
